time,open,high,low,close,Volume,Volume MA,RSI,CCI,RVI,Histogram,MACD,Signal
2015-09-13T22:00:00Z,16745,16936,16333,16393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-09-20T22:00:00Z,16395,16575,16016,16274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-09-27T22:00:00Z,16239,16485,15901,16476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-10-04T22:00:00Z,16470,17122,16430,17075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-10-11T22:00:00Z,17045,17220,16888,17213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-10-18T22:00:00Z,17191,17683,17129,17629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-10-25T22:00:00Z,17611,17856,17547,17686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-11-01T23:00:00Z,17641,17985,17614,17909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-11-08T23:00:00Z,17898,17933,17207,17217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-11-15T23:00:00Z,17148,17919,17147,17838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-11-22T23:00:00Z,17862,17910,17750,17827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-11-29T23:00:00Z,17796,17919,17434,17846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-12-06T23:00:00Z,17842,17892,17224,17243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-12-13T23:00:00Z,17283,17825,17096,17125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-12-20T23:00:00Z,17154,17609,17116,17539,NaN,NaN,63.539697542533084,NaN,NaN,NaN,NaN,NaN
2015-12-27T23:00:00Z,17552,17752,17389,17425,NaN,NaN,61.74839256694694,NaN,NaN,NaN,NaN,NaN
2016-01-03T23:00:00Z,17466,17483,16304,16323,NaN,NaN,47.738006697844845,NaN,NaN,NaN,NaN,NaN
2016-01-10T23:00:00Z,16195,16623,15834,16021,NaN,NaN,44.74195418786351,NaN,NaN,NaN,NaN,NaN
