time,open,high,low,close,Volume,Volume MA,RSI,CCI,RVI,Histogram,MACD,Signal
1984-01-02T00:00:00Z,9927,9961,9927,9961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-01-09T00:00:00Z,9954,10151,9954,10151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-01-16T00:00:00Z,10156,10156,10098,10104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-01-23T00:00:00Z,10071,10181,10023,10181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-01-30T00:00:00Z,10236,10236,10134,10134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-02-06T00:00:00Z,10121,10121,9959,9959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-02-13T00:00:00Z,9963,9963,9830,9925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-02-20T00:00:00Z,9938,9971,9938,9963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-02-27T00:00:00Z,10071,10074,9920,9948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-03-05T00:00:00Z,10089,10089,9959,9997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-03-12T00:00:00Z,10087,10458,10087,10458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-03-19T00:00:00Z,10479,10506,10414,10506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-03-26T00:00:00Z,10484,10929,10484,10929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-04-02T00:00:00Z,11050,11050,10915,10915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984-04-09T00:00:00Z,10890,11015,10890,11015,NaN,NaN,80.67520372526192,NaN,NaN,NaN,NaN,NaN
1984-04-16T00:00:00Z,11020,11020,10783,10803,NaN,NaN,71.21176191605406,NaN,NaN,NaN,NaN,NaN
1984-04-23T00:00:00Z,10801,10981,10762,10981,NaN,NaN,73.97241447552871,NaN,NaN,NaN,NaN,NaN
1984-04-30T00:00:00Z,11013,11130,11013,11130,NaN,NaN,76.04338127656693,NaN,NaN,NaN,NaN,NaN
1984-05-07T00:00:00Z,11159,11159,10833,10833,NaN,NaN,64.94979634505108,NaN,NaN,NaN,NaN,NaN
1984-05-14T00:00:00Z,10563,10620,10126,10126,NaN,NaN,47.27099295572275,-46.27093614711796,51.48582354615817,NaN,NaN,NaN
1984-05-21T00:00:00Z,10165,10251,10023,10142,NaN,NaN,47.61847984430435,-46.048109965635746,61.13188437418372,NaN,NaN,NaN
1984-05-28T00:00:00Z,10116,10164,9913,9913,NaN,NaN,43.2276129996228,-81.11158486117735,47.67877201046527,NaN,NaN,NaN
1984-06-04T00:00:00Z,10132,10350,10132,10350,NaN,NaN,52.271990843277294,-10.387644893887737,58.30264421295956,NaN,NaN,NaN
1984-06-11T00:00:00Z,10377,10377,10057,10057,NaN,NaN,46.87943358285641,-58.86441856128049,46.845440047560984,NaN,NaN,NaN
1984-06-18T00:00:00Z,10123,10237,10123,10153,NaN,NaN,48.745163903172674,-42.842761204490664,56.32842705123164,NaN,NaN,NaN
1984-06-25T00:00:00Z,10146,10378,10146,10378,NaN,NaN,52.91893316053668,-8.58522306408581,63.53311950139933,NaN,-7.1734693147700455,NaN
1984-07-02T00:00:00Z,10411,10462,10349,10462,NaN,NaN,54.41148852684339,1.7225791101592713,68.78477146026573,NaN,3.134612091973395,NaN
1984-07-09T00:00:00Z,10373,10387,10154,10154,NaN,NaN,48.35796437084704,-60.27745212973819,61.680526592748144,NaN,-13.394778396670517,NaN
1984-07-16T00:00:00Z,10178,10242,9945,9945,NaN,NaN,44.72200368439212,-101.04886909644914,56.9605138772267,NaN,-42.864873185246324,NaN
1984-07-23T00:00:00Z,9703,10036,9703,10036,NaN,NaN,46.6045061975843,-84.03971430813897,60.532404677583365,NaN,-58.20623094626535,NaN
1984-07-30T00:00:00Z,10014,10234,9948,10234,NaN,NaN,50.55047693779214,-41.77988806574952,64.00430669414425,NaN,-53.7676225716059,NaN
1984-08-06T00:00:00Z,10431,10431,10247,10376,NaN,NaN,53.22048635476578,-13.466086823834658,67.10330386439676,NaN,-38.34970863052877,NaN
1984-08-13T00:00:00Z,10390,10449,10361,10449,NaN,NaN,54.578279055971,5.487652781242128,70.2481854138118,NaN,-20.009750886034453,NaN
1984-08-20T00:00:00Z,10533,10554,10486,10554,NaN,NaN,56.53258564800493,33.31549967676516,73.43553514769856,28.259768294967014,2.963261601944396,-25.296506693022618
1984-08-27T00:00:00Z,10569,10586,10569,10584,NaN,NaN,57.100519536643986,49.048316251830165,76.57310781087722,38.894368226369096,23.321453589938756,-15.572914636430342
1984-09-03T00:00:00Z,10630,10630,10458,10501,NaN,NaN,54.96093424275951,34.540028545478236,67.12224794617859,38.366131577879585,32.38474983591914,-5.981381741960446
1984-09-10T00:00:00Z,10472,10604,10472,10604,NaN,NaN,57.10877373311712,71.37108344356048,71.43383282189416,42.651577554726515,47.3330902014477,4.681512646721185
1984-09-17T00:00:00Z,10636,10636,10505,10505,NaN,NaN,54.42236250613702,59.42291210360939,62.22674491582041,36.741116721193,50.607908548212436,13.866791827019435
1984-09-24T00:00:00Z,10605,10649,10605,10649,NaN,NaN,57.55028792038014,112.48802088496737,66.30135059599215,40.17384702064223,64.08410060282222,23.91025358217999
1984-10-01T00:00:00Z,10654,10738,10540,10738,NaN,NaN,59.40464399411776,127.84509841636198,69.20696294677346,45.68122328627239,81.01178269002048,35.33055940374809
1984-10-08T00:00:00Z,10677,10697,10669,10685,NaN,NaN,57.785781651693,101.70113621856241,64.26600481871444,43.03401667624004,89.12308024904814,46.0890635728081
1984-10-15T00:00:00Z,10780,10845,10743,10845,NaN,NaN,61.22144020187211,141.64064484931913,67.21449692706113,48.909525609338175,107.22597058448082,58.316444975142645
1984-10-22T00:00:00Z,11078,11179,11030,11155,NaN,NaN,66.85070783757061,203.70370370370358,71.62731512688805,69.28007851574611,144.9165431198253,75.63646460407918
1984-10-29T00:00:00Z,11177,11253,11170,11250,NaN,NaN,68.36621493858146,200.72021293251908,76.44583094956029,83.78928509120821,180.37307096808945,96.58378587688124
1984-11-05T00:00:00Z,11374,11374,11167,11239,NaN,NaN,67.97868058209764,169.36078498099948,62.60115271935306,86.90847166134311,205.21937545356013,118.31090379221702
1984-11-12T00:00:00Z,11235,11321,11235,11271,NaN,NaN,68.53741453002839,149.60058097313023,69.22374783120513,85.27117899674465,224.89987753814785,139.6286985414032
1984-11-19T00:00:00Z,11284,11284,11208,11208,NaN,NaN,66.09233936103308,116.50303295603767,57.61172096730214,74.48141855490931,232.73047173503983,158.24905318013052
1984-11-26T00:00:00Z,11163,11429,11163,11429,NaN,NaN,70.11941675225678,139.10417030864548,64.25538470259123,76.47514399994972,253.84298318006768,177.36783918011795
1984-12-03T00:00:00Z,11514,11560,11466,11466,NaN,NaN,70.74584853962006,127.09048932935421,69.57078622368509,74.46004389434728,270.44289404805204,195.98285015370476
1984-12-10T00:00:00Z,11317,11419,11251,11419,NaN,NaN,68.77348676341502,104.67633282949878,60.14895452347506,64.50753121235189,276.6172641691446,212.10973295679273
1984-12-17T00:00:00Z,11456,11558,11456,11474,NaN,NaN,69.83337920834167,101.72012504992371,64.350780546657,56.46410525848199,282.6898645298952,226.2257592714132
1984-12-24T00:00:00Z,11492,11543,11492,11543,NaN,NaN,71.15608598865626,102.56130790190743,67.17856125819297,50.80366173632859,289.73033644182397,238.92667470549537
1984-12-31T00:00:00Z,11558,11558,11558,11558,NaN,NaN,71.44916357303454,96.00739997893565,69.87373089793415,43.371609571429104,293.14118666978175,249.76957709835264
1985-01-07T00:00:00Z,11575,11824,11575,11812,NaN,NaN,75.91239297501014,130.17563017563018,73.30692695226323,50.37231686742098,312.7349731826289,262.3626563152079
1985-01-14T00:00:00Z,11824,11933,11824,11910,NaN,NaN,77.381556480286,137.46871319199067,76.96811702229715,55.98184528494056,332.33996292138363,276.35811763644307
1985-01-21T00:00:00Z,11976,11976,11737,11737,NaN,NaN,69.34124588476779,100.13295012415192,66.74178555312146,43.00316814013871,330.1120778116165,287.10890967147776
1985-01-28T00:00:00Z,11799,11993,11799,11947,NaN,NaN,73.00760246603407,129.3827160493827,71.05267067889123,43.39827988776449,341.35675953118334,297.95847964341885
1985-02-04T00:00:00Z,11891,12009,11823,12009,NaN,NaN,73.99631967950464,131.0544801110838,75.11075690723936,42.61118330566558,351.22245877550085,308.6112754698353
1985-02-11T00:00:00Z,12028,12148,12026,12148,NaN,NaN,76.10917417604256,147.86069651741303,78.93958985361235,45.94120295697786,366.0377791660576,320.0965762090797
1985-02-18T00:00:00Z,12149,12157,12128,12147,NaN,NaN,76.06129260887309,132.26586606621623,67.16058649175311,42.638003939915734,373.3940811339744,330.75607719405866
1985-02-25T00:00:00Z,12201,12412,11195,12412,NaN,NaN,79.70505310691665,162.75322283609555,72.43004821403748,52.22870905880717,396.04196351756764,343.81325445876047
1985-03-04T00:00:00Z,12509,12509,12348,12348,NaN,NaN,76.6698179597085,132.01688656421098,61.312271941840145,48.28325169472242,404.1673190771635,355.88406738244106
1985-03-11T00:00:00Z,12264,12469,12264,12469,NaN,NaN,78.34855779792673,137.17854656959588,66.88176842463096,47.75663782889501,415.5798646685598,367.8232268396648
1985-03-18T00:00:00Z,12507,12543,12478,12543,NaN,NaN,79.32821531416556,133.0540917893977,71.82999143996516,46.292217565587805,425.6884987966496,379.3962812310618
1985-03-25T00:00:00Z,12493,12604,12486,12590,NaN,NaN,79.94876892690688,125.86554474537645,76.14759187797439,42.48817949985107,432.50650560587565,390.0183261060246
1985-04-01T00:00:00Z,12677,12683,12570,12570,NaN,NaN,78.86385284446908,110.66824002447433,66.24854037893758,33.0445056514219,431.3239581703019,398.27945251888
1985-04-08T00:00:00Z,12636,12636,12574,12588,NaN,NaN,79.13823920581493,103.07699118962222,70.2245514043494,22.910826452843423,426.9179855849343,404.00715913209086
1985-04-15T00:00:00Z,12553,12553,12053,12232,NaN,NaN,61.99615487379555,34.560327198363936,63.054623970078,-11.044135198559275,390.20199013389174,401.246125332451
1985-04-22T00:00:00Z,12180,12466,12124,12466,NaN,NaN,67.04860053131024,71.35623137243547,66.46572220844446,-20.47224652824235,375.6558171721481,396.12806370039044
1985-04-29T00:00:00Z,12426,12457,12426,12452,NaN,NaN,66.47914944281007,63.52935035105578,61.553190106167555,-29.81328630104059,358.8614558240897,388.6747421251303
1985-05-06T00:00:00Z,12415,12527,12415,12527,NaN,NaN,68.04490765418319,72.75724565038213,64.56557395431088,-32.86235597875282,347.5967971516893,380.45915313044213
1985-05-13T00:00:00Z,12542,12542,12358,12420,NaN,NaN,63.48860415934486,43.42320639920937,59.517064968465775,-43.347818283894526,326.274380275574,369.62219855946853
1985-05-20T00:00:00Z,12559,12697,12559,12649,NaN,NaN,68.37008343640196,95.35478952240935,63.189464232077,-36.403068671638266,324.1183627199207,360.52143139155896
1985-05-27T00:00:00Z,12643,12790,12643,12790,NaN,NaN,70.9458118663311,127.98587901673964,67.475329944453,-24.430439618071603,329.98338186896945,354.41382148704105
1985-06-03T00:00:00Z,12473,12717,12473,12717,NaN,NaN,67.86451728328548,102.0783391905417,58.979242613455604,-23.535356279044322,324.9946261382356,348.52998241727994
